CustomerID,Age,AnnualSpending,PurchaseFrequency,AvgOrderValue,YearsAsCustomer,SatisfactionScore,ProductCategories,LastPurchaseDays,OnlineVisits,CartAbandonmentRate
C001,28,4500,12,375,2,8.5,5,15,45,0.15
C002,45,15200,24,633,8,9.2,8,3,120,0.05
C003,32,7800,18,433,4,8.8,6,22,65,0.12
C004,55,22000,36,611,12,9.5,10,5,180,0.02
C005,24,1200,4,300,1,6.5,2,60,8,0.45
C006,38,9500,20,475,6,8.9,7,18,95,0.08
C007,50,18500,28,661,10,9.3,9,8,150,0.04
C008,26,2100,6,350,1.5,7.2,3,45,15,0.35
C009,42,12400,22,564,7,8.7,7,12,105,0.10
C010,58,25000,40,625,14,9.6,11,2,200,0.01
C011,29,5200,14,371,3,8.2,5,20,55,0.18
C012,47,16800,26,646,9,9.1,9,6,140,0.06
C013,35,8900,19,468,5,8.6,6,25,75,0.11
C014,52,20500,34,603,11,9.4,10,7,170,0.03
C015,22,800,2,400,0.5,5.8,1,75,3,0.55
C016,40,11200,21,533,6.5,8.8,7,16,100,0.09
C017,54,23500,38,618,13,9.5,11,4,190,0.02
C018,27,3500,8,438,2,7.5,4,35,25,0.32
C019,44,13800,23,600,7.5,8.9,8,10,115,0.07
C020,60,26000,42,619,15,9.7,12,1,210,0.01
C021,25,1500,5,300,0.8,6.2,2,50,12,0.40
C022,41,10500,20,525,6,8.7,7,19,90,0.10
C023,56,21000,35,600,12,9.4,10,6,180,0.03
C024,30,6500,15,433,3.5,8.3,5,28,60,0.14
C025,49,17500,27,648,8.5,9.2,8,7,135,0.05
C026,33,7200,16,450,4.5,8.5,6,26,70,0.13
C027,51,19500,33,591,10.5,9.3,9,9,165,0.04
C028,23,1800,4,450,1,6.8,2,55,10,0.42
C029,39,9800,19,516,5.5,8.6,6,21,85,0.11
C030,57,24500,39,628,14,9.6,11,3,195,0.01
C031,26,2800,7,400,1.5,7.0,3,40,20,0.38
C032,43,12900,21,614,7,8.8,7,14,110,0.08
C033,48,16200,25,648,8,9.0,8,8,130,0.06
C034,31,5900,13,454,3,8.1,5,30,50,0.16
C035,53,22000,37,595,11,9.5,10,5,185,0.02
C036,36,8500,17,500,5,8.4,6,23,80,0.12
C037,46,14500,24,604,7.5,8.9,7,11,120,0.07
C038,59,25500,41,622,14.5,9.7,11,2,205,0.01
C039,21,900,3,300,0.5,5.5,1,70,5,0.60
C040,34,7600,18,422,4.5,8.6,6,24,75,0.10
C041,44,13200,22,600,7,8.8,8,12,108,0.09
C042,55,23000,37,622,13,9.5,10,6,188,0.02
C043,28,4200,11,382,2.5,8.0,5,18,48,0.20
C044,40,10800,21,514,6,8.7,7,17,98,0.10
C045,50,18200,29,628,10,9.2,9,7,152,0.05
C046,37,9000,18,500,5.5,8.5,6,22,82,0.11
C047,54,21500,36,597,12.5,9.4,10,4,182,0.03
C048,25,1600,5,320,1,6.5,2,52,11,0.48
C049,42,12700,23,552,7.5,8.9,7,13,112,0.08
C050,58,24800,40,620,13.5,9.6,11,2,198,0.01
