Customer_ID,Age,Annual_Income_K,Spending_Score,Purchase_Frequency,Avg_Order_Value,Customer_Lifetime_Value,Years_Customer,Primary_Category,Gender
CUST_0001,49,110.29,17,18,10.0,188.33,14,Fashion,Female
CUST_0002,42,139.78,11,8,55.46,100.0,13,Sports,Female
CUST_0003,51,40.54,64,24,44.62,183.08,4,Sports,Male
CUST_0004,62,99.39,70,13,10.0,660.21,13,Electronics,Male
CUST_0005,41,62.98,4,13,47.24,100.0,8,Beauty,Female
CUST_0006,41,67.89,93,17,83.69,486.46,9,Fashion,Female
CUST_0007,62,64.73,6,11,10.0,100.0,0,Electronics,Male
CUST_0008,53,56.58,54,17,10.0,426.74,9,Beauty,Female
CUST_0009,38,83.96,71,12,59.28,518.01,4,Fashion,Male
CUST_0010,50,57.57,87,12,19.33,745.86,11,Sports,Male
CUST_0011,38,90.61,71,16,36.64,359.11,5,Fashion,Female
CUST_0012,38,80.99,80,11,25.13,535.72,13,Home & Garden,Male
CUST_0013,46,75.33,34,16,27.07,272.28,10,Fashion,Female
CUST_0014,21,55.27,81,17,10.0,612.72,6,Home & Garden,Female
CUST_0015,23,65.2,8,19,58.89,100.0,8,Fashion,Female
CUST_0016,37,105.16,89,16,69.0,626.32,5,Home & Garden,Male
CUST_0017,31,97.53,55,19,10.0,321.12,4,Sports,Male
CUST_0018,47,53.17,81,10,10.0,336.51,11,Beauty,Male
CUST_0019,33,85.48,45,22,10.0,324.31,6,Home & Garden,Female
CUST_0020,27,105.04,64,13,36.22,452.53,12,Home & Garden,Female
CUST_0021,61,32.42,53,14,31.84,200.59,0,Sports,Female
CUST_0022,41,98.8,73,23,10.0,459.54,10,Home & Garden,Female
CUST_0023,44,62.62,9,10,62.48,467.87,13,Electronics,Female
CUST_0024,26,99.62,6,12,10.0,414.33,4,Sports,Female
CUST_0025,37,59.6,25,22,34.19,368.04,14,Electronics,Male
CUST_0026,45,28.35,16,18,10.0,100.0,1,Sports,Male
CUST_0027,30,33.67,87,19,10.0,150.5,3,Home & Garden,Female
CUST_0028,48,83.94,22,18,10.0,424.95,6,Electronics,Male
CUST_0029,36,90.29,97,11,20.29,646.79,4,Home & Garden,Male
CUST_0030,40,55.37,34,6,10.0,507.28,11,Sports,Female
CUST_0031,36,101.66,19,10,10.0,139.52,5,Home & Garden,Female
CUST_0032,66,32.65,79,19,44.57,256.4,1,Electronics,Male
CUST_0033,43,80.52,66,15,10.0,100.0,2,Electronics,Female
CUST_0034,31,46.17,50,18,10.0,163.84,6,Home & Garden,Female
CUST_0035,53,62.94,55,16,93.77,490.2,10,Fashion,Female
CUST_0036,29,83.92,72,12,77.46,290.54,1,Sports,Male
CUST_0037,46,56.69,23,17,10.0,310.47,11,Sports,Male
CUST_0038,20,70.96,99,10,41.58,400.83,5,Home & Garden,Female
CUST_0039,28,112.69,97,9,10.0,581.19,4,Fashion,Female
CUST_0040,46,65.19,65,19,19.69,100.0,9,Electronics,Female
CUST_0041,52,107.57,20,16,25.47,292.18,0,Beauty,Female
CUST_0042,46,48.61,68,16,10.0,100.0,11,Beauty,Male
CUST_0043,42,98.39,8,13,10.0,183.41,10,Home & Garden,Male
CUST_0044,40,125.75,4,16,10.0,100.0,14,Fashion,Female
CUST_0045,26,15.0,26,18,10.0,349.2,9,Fashion,Male
CUST_0046,35,58.59,46,18,10.0,410.67,10,Sports,Male
CUST_0047,38,99.81,86,24,10.0,550.96,3,Electronics,Female
CUST_0048,56,76.41,72,13,10.0,673.02,10,Fashion,Male
CUST_0049,48,93.63,74,13,43.47,219.49,1,Beauty,Male
CUST_0050,22,64.38,43,14,80.8,607.23,3,Electronics,Male
CUST_0051,47,85.1,35,20,10.0,461.63,0,Electronics,Male
CUST_0052,39,77.83,37,14,19.75,219.35,1,Home & Garden,Male
CUST_0053,35,117.53,98,17,36.74,756.19,12,Fashion,Female
CUST_0054,51,90.13,4,16,32.61,100.0,7,Home & Garden,Female
CUST_0055,56,92.63,86,19,13.06,278.35,5,Fashion,Male
CUST_0056,55,70.14,58,16,44.15,192.57,1,Sports,Female
CUST_0057,33,67.87,44,17,30.9,161.95,11,Home & Garden,Male
CUST_0058,40,69.52,72,16,10.0,143.73,14,Home & Garden,Female
CUST_0059,47,94.33,49,16,52.89,580.28,5,Beauty,Female
CUST_0060,55,69.87,87,17,51.35,348.97,9,Home & Garden,Female
CUST_0061,38,91.19,90,12,10.0,522.89,8,Fashion,Female
CUST_0062,41,144.76,42,15,16.37,301.45,6,Beauty,Male
CUST_0063,30,108.63,28,7,45.03,100.0,8,Home & Garden,Male
CUST_0064,29,72.72,59,19,10.0,376.45,4,Home & Garden,Female
CUST_0065,53,118.54,91,14,65.5,127.62,6,Sports,Male
CUST_0066,60,70.26,21,13,125.22,189.79,10,Home & Garden,Male
